asset,tf,local_rank,score,min_pf,n_trades,gate2_verdict,pf_is,pf_oos,degradation,plateau_verdict,plateau_frac_healthy,n_cohorts,overall_pass_pct,overall_fail_pct,worst_window_pass_pct,worst_window_start,worst_window_n,fail_reasons,note
US30,3min,5,41.2871,6.278,717,PASS,4.225,5.542,1.408,PASS,1.0,313,89.1,9.9,73.6,2023-07-24,53,"{'max_loss': 12, 'daily_loss': 19}",
GBPUSD,5min,2,56.0623,8.326,839,PASS,6.561,7.614,1.189,PASS,1.0,313,89.1,10.9,71.7,2023-07-24,53,{'daily_loss': 34},
GBPUSD,5min,4,49.8939,7.756,621,PASS,5.994,6.427,1.087,PASS,1.0,313,84.7,15.3,69.8,2021-02-22,53,"{'daily_loss': 35, 'max_loss': 13}",
XAUUSD,5min,3,40.3355,5.687,1202,PASS,5.256,6.525,1.298,PASS,1.0,313,81.8,17.9,69.8,2022-07-18,53,{'daily_loss': 56},
GBPUSD,5min,0,58.8001,8.314,1178,PASS,5.956,6.046,1.018,PASS,1.0,313,83.1,16.9,67.9,2021-05-10,53,{'daily_loss': 53},
SPX500,5min,1,47.581,8.299,308,PASS,6.517,6.17,0.937,PASS,1.0,314,90.8,8.6,67.9,2023-08-14,53,{'daily_loss': 27},
GER40,3min,4,52.3825,8.037,676,PASS,4.826,6.254,1.373,PASS,1.0,313,85.9,14.1,66.0,2023-04-03,53,"{'daily_loss': 42, 'max_loss': 2}",
GBPUSD,5min,6,48.7997,7.569,630,PASS,6.712,6.494,0.962,PASS,1.0,313,80.8,19.2,66.0,2023-11-27,53,"{'daily_loss': 56, 'max_loss': 4}",
GBPUSD,3min,5,43.4943,6.158,1167,PASS,5.177,5.293,1.028,PASS,1.0,313,73.2,26.8,64.2,2023-07-24,53,{'daily_loss': 84},
US30,5min,2,40.1165,6.1,717,PASS,5.171,6.409,1.297,PASS,1.0,313,87.2,12.8,64.2,2022-12-12,53,{'daily_loss': 40},
GER40,3min,3,56.7597,9.856,316,PASS,6.174,8.467,1.443,PASS,1.0,313,76.7,23.3,62.3,2020-10-12,53,{'daily_loss': 73},
GER40,5min,2,55.0523,8.228,804,PASS,6.608,8.998,1.426,PASS,1.0,313,77.6,22.4,62.3,2022-05-16,53,{'daily_loss': 70},
GBPUSD,5min,9,46.611,6.815,933,PASS,5.978,6.57,1.119,PASS,1.0,313,77.0,23.0,62.3,2023-08-14,53,"{'daily_loss': 70, 'max_loss': 2}",
