size,assets,labels,avg_pairwise_corr,risk_multiplier_k,pass_pct,still_going_pct,median_days_to_pass,n_cohorts,per_asset_risk_pct,margin_cap_frac,n_trades_total,n_trades_rejected,pct_trades_rejected
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/5min ss=180 (local_rank=4),-0.01,0.1982,49.8,1.3,26,313,"{'GER40': 3.482, 'US30': 3.777}",0.8,4115,2992,72.7
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/5min ss=180 (local_rank=4),-0.01,0.2404,52.7,1.9,39,313,"{'GER40': 4.223, 'US30': 4.581}",0.8,4115,3305,80.3
2,EURUSD+GER40,GER40/1min ss=300 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),0.018,0.0896,50.2,0.6,11,313,"{'GER40': 1.573, 'EURUSD': 4.698}",0.8,4768,2111,44.3
2,EURUSD+GER40,GER40/1min ss=300 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),0.018,0.1284,50.8,1.0,12,313,"{'GER40': 2.256, 'EURUSD': 6.738}",0.8,4768,2894,60.7
2,EURUSD+GER40,GER40/1min ss=300 (local_rank=5) | EURUSD/5min ss=300 (local_rank=6),0.018,0.2443,52.4,2.2,33,313,"{'GER40': 4.292, 'EURUSD': 12.815}",0.8,4768,4063,85.2
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/5min ss=420 (local_rank=9),0.015,0.123,48.6,0.3,15,313,"{'GER40': 2.161, 'US30': 2.334}",0.8,3481,1570,45.1
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/5min ss=420 (local_rank=9),0.015,0.2042,48.2,1.0,23,313,"{'GER40': 3.588, 'US30': 3.876}",0.8,3481,2358,67.7
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/5min ss=420 (local_rank=9),0.015,0.2392,48.6,1.0,36,313,"{'GER40': 4.202, 'US30': 4.539}",0.8,3481,2594,74.5
2,GER40+XAUUSD,GER40/1min ss=300 (local_rank=5) | XAUUSD/5min ss=180 (local_rank=6),-0.006,0.1545,47.3,0.6,18,313,"{'GER40': 2.714, 'XAUUSD': 8.43}",0.8,5057,3430,67.8
2,GER40+NDX100,GER40/1min ss=300 (local_rank=5) | NDX100/3min ss=420 (local_rank=6),0.013,0.0998,51.1,0.3,12,313,"{'GER40': 1.753, 'NDX100': 1.414}",0.8,4293,1240,28.9
2,GER40+US30,GER40/1min ss=300 (local_rank=5) | US30/1min ss=300 (local_rank=3),0.18,0.2331,48.6,1.3,29,313,"{'GER40': 4.095, 'US30': 0.9}",0.8,2254,1166,51.7
2,GBPUSD+GER40,GER40/1min ss=300 (local_rank=5) | GBPUSD/1min ss=300 (local_rank=6),0.007,0.1572,49.5,1.0,12,313,"{'GER40': 2.762, 'GBPUSD': 1.27}",0.8,5031,2277,45.3
2,GBPUSD+GER40,GER40/1min ss=300 (local_rank=5) | GBPUSD/1min ss=300 (local_rank=6),0.007,0.2052,47.6,1.0,15,313,"{'GER40': 3.605, 'GBPUSD': 1.657}",0.8,5031,2879,57.2
2,GBPUSD+GER40,GER40/1min ss=300 (local_rank=5) | GBPUSD/1min ss=300 (local_rank=6),0.007,0.2285,49.8,1.0,16,313,"{'GER40': 4.014, 'GBPUSD': 1.845}",0.8,5031,3124,62.1
2,GER40+XAUUSD,GER40/1min ss=300 (local_rank=5) | XAUUSD/1min ss=300 (local_rank=6),-0.005,0.2314,50.2,0.3,29,313,"{'GER40': 4.065, 'XAUUSD': 2.619}",0.8,3434,2323,67.6
2,GER40+XAUUSD,GER40/1min ss=300 (local_rank=5) | XAUUSD/1min ss=420 (local_rank=5),-0.02,0.1423,47.3,0.3,16,313,"{'GER40': 2.5, 'XAUUSD': 1.532}",0.8,4397,1584,36.0
2,GER40+GER40,GER40/1min ss=300 (local_rank=5) | GER40/1min ss=420 (local_rank=6),0.067,0.2049,50.8,1.0,19,313,{'GER40': 3.167},0.8,2450,1152,47.0
2,GBPUSD+SPX500,SPX500/3min ss=180 (local_rank=6) | GBPUSD/3min ss=180 (local_rank=7),0.086,0.2554,52.7,0.0,39,317,"{'SPX500': 3.756, 'GBPUSD': 4.501}",0.8,2264,1772,78.3
2,SPX500+US30,SPX500/3min ss=180 (local_rank=6) | US30/5min ss=180 (local_rank=4),0.439,0.2271,47.6,3.5,73,317,"{'SPX500': 3.341, 'US30': 4.328}",0.8,4107,3551,86.5
2,EURUSD+SPX500,SPX500/3min ss=180 (local_rank=6) | EURUSD/5min ss=300 (local_rank=6),-0.018,0.0897,52.7,0.6,11,319,"{'SPX500': 1.319, 'EURUSD': 4.705}",0.8,4760,2374,49.9
2,EURUSD+SPX500,SPX500/3min ss=180 (local_rank=6) | EURUSD/5min ss=300 (local_rank=6),-0.018,0.1846,48.6,2.8,29,319,"{'SPX500': 2.715, 'EURUSD': 9.685}",0.8,4760,3879,81.5
2,SPX500+US30,SPX500/3min ss=180 (local_rank=6) | US30/5min ss=420 (local_rank=9),-0.048,0.1261,52.7,0.9,18,319,"{'SPX500': 1.855, 'US30': 2.393}",0.8,3473,2014,58.0
2,SPX500+US30,SPX500/3min ss=180 (local_rank=6) | US30/5min ss=420 (local_rank=9),-0.048,0.1483,49.5,1.3,22,319,"{'SPX500': 2.181, 'US30': 2.814}",0.8,3473,2258,65.0
2,SPX500+US30,SPX500/3min ss=180 (local_rank=6) | US30/5min ss=420 (local_rank=9),-0.048,0.2277,52.4,1.6,43,319,"{'SPX500': 3.349, 'US30': 4.32}",0.8,3473,2833,81.6
2,SPX500+XAUUSD,SPX500/3min ss=180 (local_rank=6) | XAUUSD/5min ss=180 (local_rank=6),0.027,0.1699,49.8,0.6,23,319,"{'SPX500': 2.5, 'XAUUSD': 9.272}",0.8,5049,4014,79.5
2,NDX100+SPX500,SPX500/3min ss=180 (local_rank=6) | NDX100/3min ss=420 (local_rank=6),-0.051,0.1067,52.0,0.3,15,319,"{'SPX500': 1.569, 'NDX100': 1.512}",0.8,4285,1765,41.2
2,SPX500+US30,SPX500/3min ss=180 (local_rank=6) | US30/1min ss=300 (local_rank=3),-0.001,0.6339,47.6,6.8,80,311,"{'SPX500': 9.324, 'US30': 2.448}",0.8,2246,1950,86.8
2,GBPUSD+SPX500,SPX500/3min ss=180 (local_rank=6) | GBPUSD/1min ss=300 (local_rank=6),-0.067,0.2572,51.1,1.9,19,319,"{'SPX500': 3.782, 'GBPUSD': 2.077}",0.8,5023,3578,71.2
2,SPX500+XAUUSD,SPX500/3min ss=180 (local_rank=6) | XAUUSD/1min ss=300 (local_rank=6),-0.012,0.3025,49.8,1.9,45,319,"{'SPX500': 4.449, 'XAUUSD': 3.424}",0.8,3426,2835,82.7
2,SPX500+XAUUSD,SPX500/3min ss=180 (local_rank=6) | XAUUSD/1min ss=420 (local_rank=5),-0.021,0.1961,49.5,0.3,19,319,"{'SPX500': 2.884, 'XAUUSD': 2.111}",0.8,4389,2426,55.3
2,GER40+SPX500,SPX500/3min ss=180 (local_rank=6) | GER40/1min ss=420 (local_rank=6),-0.019,0.2678,49.8,0.9,33,319,"{'SPX500': 3.939, 'GER40': 4.139}",0.8,2442,1657,67.9
2,GBPUSD+US30,GBPUSD/3min ss=180 (local_rank=7) | US30/5min ss=180 (local_rank=4),0.04,0.2487,51.3,1.6,37,312,"{'GBPUSD': 4.383, 'US30': 4.738}",0.8,4203,3440,81.8
2,EURUSD+GBPUSD,GBPUSD/3min ss=180 (local_rank=7) | EURUSD/5min ss=300 (local_rank=6),0.011,0.2553,49.0,0.0,32,310,"{'GBPUSD': 4.499, 'EURUSD': 13.392}",0.8,4856,4165,85.8
2,GBPUSD+US30,GBPUSD/3min ss=180 (local_rank=7) | US30/5min ss=420 (local_rank=9),0.006,0.2488,48.6,1.3,31,313,"{'GBPUSD': 4.384, 'US30': 4.721}",0.8,3569,2713,76.0
2,GBPUSD+XAUUSD,GBPUSD/3min ss=180 (local_rank=7) | XAUUSD/5min ss=180 (local_rank=6),0.033,0.202,50.5,1.3,23,313,"{'GBPUSD': 3.561, 'XAUUSD': 11.025}",0.8,5145,4080,79.3
2,GBPUSD+NDX100,GBPUSD/3min ss=180 (local_rank=7) | NDX100/3min ss=420 (local_rank=6),0.044,0.1105,48.6,0.3,12,313,"{'GBPUSD': 1.948, 'NDX100': 1.567}",0.8,4381,1561,35.6
2,GBPUSD+US30,GBPUSD/3min ss=180 (local_rank=7) | US30/1min ss=300 (local_rank=3),0.006,0.2566,49.8,0.6,23,313,"{'GBPUSD': 4.521, 'US30': 0.991}",0.8,2342,1307,55.8
2,GBPUSD+US30,GBPUSD/3min ss=180 (local_rank=7) | US30/1min ss=300 (local_rank=3),0.006,0.4422,48.1,3.2,46,312,"{'GBPUSD': 7.794, 'US30': 1.707}",0.8,2342,1789,76.4
